"level","character","readings_on","readings_kun","meaning"
"N3","能","{""のう""}","{""よ.く""}","Ability; Talent; Skill; Capacity"
"N3","術","{""じゅつ""}","{""すべ""}","Art; Technique; Skill; Means; Trick; Resources; Magic"
"N4","私","{""し""}","{""わたくし"",""わたし""}","Private; I; Me"
"N2","骨","{""こつ""}","{""ほね""}","Skeleton; Bone; Remains; Frame"
"N1","妥","{""だ""}","{}","Gentle; Peace; Depravity"
"N1","雰","{""ふん""}","{}","Atmosphere; Fog"
"N1","頑","{""がん""}","{""かたく""}","Stubborn; Foolish; Firmly"
"N2","寺","{""じ""}","{""てら""}","Buddhist Temple"
"N2","岩","{""がん""}","{""いわ""}","Boulder; Rock; Cliff"
"N4","帰","{""き""}","{""かえ.る"",""かえ.す"",""おく.る"",""とつ.ぐ""}","Homecoming; Arrive At; Lead To; Result In"
"N4","春","{""しゅん""}","{""はる""}","Springtime; Spring (season)"
"N4","昼","{""ちゅう""}","{""ひる""}","Daytime; Noon"
"N3","晴","{""せい""}","{""は.れる"",""は.れ"",""は.れ-"",""-ば.れ"",""は.らす""}","Clear Up"
"N4","秋","{""しゅう""}","{""あき"",""とき""}","Autumn"
"N4","計","{""けい""}","{""はか.る"",""はか.らう""}","Plot; Plan; Scheme; Measure"
"N3","列","{""れつ"",""れ""}","{}","File; Row; Rank; Tier; Column"
"N2","区","{""く"",""おう"",""こう""}","{}","Ward; District"
"N2","坂","{""はん""}","{""さか""}","Slope; Incline; Hill"
"N3","式","{""しき""}","{}","Style; Ceremony; Rite; Function; Method; System; Form; Expression"
"N3","信","{""しん""}","{}","Faith; Truth; Fidelity; Trust"
"N2","勇","{""ゆう""}","{""いさ.む""}","Courage; Cheer Up; Be In High Spirits; Bravery; Heroism"
"N3","単","{""たん""}","{""ひとえ""}","Simple; One; Single; Merely"
"N1","司","{""し""}","{""つかさど.る""}","Director; Official; Govt Office; Rule; Administer"
"N3","変","{""へん""}","{""か.わる"",""か.わり"",""か.える""}","Unusual; Change; Strange"
"N3","夫","{""ふ"",""ふう"",""ぶ""}","{""おっと"",""それ""}","Husband; Man"
"N4","建","{""けん"",""こん""}","{""た.てる"",""た.て"",""-だ.て"",""た.つ""}","Build"
"N3","昨","{""さく""}","{}","Yesterday; Previous"
"N2","毒","{""どく""}","{}","Poison; Virus; Venom; Germ; Harm; Injury; Spite"
"N3","法","{""ほう"",""はっ"",""ほっ"",""ふらん""}","{""のり""}","Method; Law; Rule; Principle; Model; System"
"N1","泣","{""きゅう""}","{""な.く""}","Cry; Weep; Moan"
"N2","浅","{""せん""}","{""あさ.い""}","Shallow; Superficial; Frivolous; Wretched; Shameful"
"N1","紀","{""き""}","{}","Chronicle; Account; Narrative; History; Annals; Geologic Period"
"N4","英","{""えい""}","{""はなぶさ""}","England; English; Hero; Outstanding; Calyx"
"N2","軍","{""ぐん""}","{""いくさ""}","Army; Force; Troops; War; Battle"
"N4","飯","{""はん""}","{""めし""}","Meal; Boiled Rice"
"N2","仏","{""ぶつ"",""ふつ""}","{""ほとけ""}","Buddha; The Dead; France"
"N2","築","{""ちく""}","{""きず.く""}","Fabricate; Build; Construct"
"N3","晩","{""ばん""}","{}","Nightfall; Night"
"N3","猫","{""びょう""}","{""ねこ""}","Cat"
"N3","園","{""えん""}","{""その""}","Park; Garden; Yard; Farm"
"N4","曜","{""よう""}","{}","Weekday"
"N5","書","{""しょ""}","{""か.く"",""-が.き"",""-がき""}","Write"
"N3","遠","{""えん"",""おん""}","{""とお.い""}","Distant; Far"
"N2","門","{""もん""}","{""かど"",""と""}","Gate; Counter For Cannons"
"N3","係","{""けい""}","{""かか.る"",""かかり"",""-がかり"",""かか.わる""}","Person In Charge; Connection; Duty; Concern Oneself"
"N3","取","{""しゅ""}","{""と.る"",""と.り"",""と.り-"",""とり"",""-ど.り""}","Take; Fetch; Take Up"
"N4","品","{""ひん"",""ほん""}","{""しな""}","Goods; Refinement; Dignity; Article; Counter For Meal Courses"
"N3","守","{""しゅ"",""す""}","{""まも.る"",""まも.り"",""もり"",""-もり"",""かみ""}","Guard; Protect; Defend; Obey"
"N3","幸","{""こう""}","{""さいわ.い"",""さち"",""しあわ.せ""}","Happiness; Blessing; Fortune"
"N4","急","{""きゅう""}","{""いそ.ぐ"",""いそ.ぎ"",""せ.く""}","Hurry; Emergency; Sudden; Steep"
"N4","真","{""しん""}","{""ま"",""ま-"",""まこと""}","True; Reality; Buddhist Sect"
"N3","箱","{""そう""}","{""はこ""}","Box; Chest; Case; Bin; Railway Car"
"N2","荷","{""か""}","{""に""}","Baggage; Shoulder-pole Load; Bear (a Burden); Shoulder (a Gun); Load; Cargo; Freight"
"N3","面","{""めん"",""べん""}","{""おも"",""おもて"",""つら""}","Mask; Face; Features; Surface"
"N1","典","{""てん"",""でん""}","{}","Code; Ceremony; Law; Rule"
"N3","喜","{""き""}","{""よろこ.ぶ"",""よろこ.ばす""}","Rejoice; Take Pleasure In"
"N2","府","{""ふ""}","{}","Borough; Urban Prefecture; Govt Office; Representative Body; Storehouse"
"N3","治","{""じ"",""ち""}","{""おさ.める"",""おさ.まる"",""なお.る"",""なお.す""}","Reign; Be At Peace; Calm Down; Subdue; Quell; Govt; Cure; Heal; Rule; Conserve"
"N2","浴","{""よく""}","{""あ.びる"",""あ.びせる""}","Bathe; Be Favored With; Bask In"
"N3","笑","{""しょう""}","{""わら.う"",""え.む""}","Laugh"
"N3","辞","{""じ""}","{""や.める"",""いな.む""}","Resign; Word; Term; Expression"
"N3","関","{""かん""}","{""せき"",""-ぜき"",""かか.わる"",""からくり"",""かんぬき""}","Connection; Barrier; Gateway; Involve; Concerning"
"N1","保","{""ほ"",""ほう""}","{""たも.つ""}","Protect; Guarantee; Keep; Preserve; Sustain; Support"
"N1","弁","{""べん"",""へん""}","{""かんむり"",""わきま.える"",""わ.ける"",""はなびら"",""あらそ.う""}","Valve; Petal; Braid; Speech; Dialect; Discrimination; Dispose Of; Distinguish; Conical Cap"
"N3","政","{""せい"",""しょう""}","{""まつりごと"",""まん""}","Politics; Government"
"N3","留","{""りゅう"",""る""}","{""と.める"",""と.まる"",""とど.める"",""とど.まる"",""るうぶる""}","Detain; Fasten; Halt; Stop"
"N1","証","{""しょう""}","{""あかし""}","Evidence; Proof; Certificate"
"N3","険","{""けん""}","{""けわ.しい""}","Precipitous; Inaccessible Place; Impregnable Position; Steep Place; Sharp Eyes"
"N3","危","{""き""}","{""あぶ.ない"",""あや.うい"",""あや.ぶむ""}","Dangerous; Fear; Uneasy"
"N3","存","{""そん"",""ぞん""}","{""ながら.える"",""あ.る"",""たも.つ"",""と.う""}","Exist; Suppose; Be Aware Of; Believe; Feel"
"N2","専","{""せん""}","{""もっぱ.ら""}","Specialty; Exclusive; Mainly; Solely"
"N1","冒","{""ぼう""}","{""おか.す""}","Risk; Face; Defy; Dare; Damage; Assume (a Name)"
"N1","冗","{""じょう""}","{}","Superfluous; Uselessness"
"N3","原","{""げん""}","{""はら""}","Meadow; Original; Primitive; Field; Plain; Prairie; Tundra; Wilderness"
"N2","細","{""さい""}","{""ほそ.い"",""ほそ.る"",""こま.か"",""こま.かい""}","Dainty; Get Thin; Taper; Slender; Narrow; Detailed; Precise"
"N3","薬","{""やく""}","{""くすり""}","Medicine; Chemical; Enamel; Gunpowder; Benefit"
"N2","鼻","{""び""}","{""はな""}","Nose; Snout"
"N3","側","{""そく""}","{""かわ"",""がわ"",""そば""}","Side; Lean; Oppose; Regret"
"N2","兵","{""へい"",""ひょう""}","{""つわもの""}","Soldier; Private; Troops; Army; Warfare; Strategy; Tactics"
"N4","堂","{""どう""}","{}","Public Chamber; Hall"
"N2","塩","{""えん""}","{""しお""}","Salt"
"N3","席","{""せき""}","{""むしろ""}","Seat; Mat; Occasion; Place"
"N3","敗","{""はい""}","{""やぶ.れる""}","Failure; Defeat; Reversal"
"N3","果","{""か""}","{""は.たす"",""はた.す"",""-は.たす"",""は.てる"",""-は.てる"",""は.て""}","Fruit; Reward; Carry Out; Achieve; Complete; End; Finish; Succeed"
"N2","栄","{""えい"",""よう""}","{""さか.える"",""は.え"",""-ば.え"",""は.える"",""え""}","Flourish; Prosperity; Honor; Glory; Splendor"
"N1","梅","{""ばい""}","{""うめ""}","Plum"
"N1","結","{""けつ"",""けち""}","{""むす.ぶ"",""ゆ.う"",""ゆ.わえる""}","Tie; Bind; Contract; Join; Organize; Do Up Hair; Fasten"
"N3","因","{""いん""}","{""よ.る"",""ちな.む""}","Cause; Factor; Be Associated With; Depend On; Be Limited To"
"N3","常","{""じょう""}","{""つね"",""とこ-""}","Usual; Ordinary; Normal; Common; Regular; Continually; Always; Long-lasting"
"N3","識","{""しき""}","{""し.る"",""しる.す""}","Discriminating; Know; Write"
"N3","非","{""ひ""}","{""あら.ず""}","Un-; Mistake; Negative; Injustice; Non-"
"N2","干","{""かん""}","{""ほ.す"",""ほ.し-"",""-ぼ.し"",""ひ.る""}","Dry; Parch; Ebb; Recede; Interfere; Intercede"
"N1","是","{""ぜ"",""し""}","{""これ"",""この"",""ここ""}","Just So; This; Right; Justice"
"N1","渉","{""しょう""}","{""わた.る""}","Ford; Go Cross; Transit; Ferry; Import; Involve"
"N1","虚","{""きょ"",""こ""}","{""むな.しい"",""うつ.ろ""}","Void; Emptiness; Unpreparedness; Crack; Fissure; Untruth"
"N3","官","{""かん""}","{}","Bureaucrat; The Government; Organ"
"N3","察","{""さつ""}","{}","Guess; Presume; Surmise; Judge; Understand"
"N2","底","{""てい""}","{""そこ""}","Bottom; Sole; Depth; Bottom Price; Base; Kind; Sort"
"N3","愛","{""あい""}","{""いと.しい"",""かな.しい"",""め.でる"",""お.しむ"",""まな""}","Love; Affection; Favourite"
"N2","署","{""しょ""}","{}","Signature; Govt Office; Police Station"
"N3","警","{""けい""}","{""いまし.める""}","Admonish; Commandment"
"N2","恋","{""れん""}","{""こ.う"",""こい"",""こい.しい""}","Romance; In Love; Yearn For; Miss; Darling"
"N3","覚","{""かく""}","{""おぼ.える"",""さ.ます"",""さ.める"",""さと.る""}","Memorize; Learn; Remember; Awake; Sober Up"
"N3","説","{""せつ"",""ぜい""}","{""と.く""}","Opinion; Theory; Explanation; Rumor"
"N1","幻","{""げん""}","{""まぼろし""}","Phantasm; Vision; Dream; Illusion; Apparition"
"N2","訓","{""くん"",""きん""}","{""おし.える"",""よ.む"",""くん.ずる""}","Instruction; Japanese Character Reading; Explanation; Read"
"N4","試","{""し""}","{""こころ.みる"",""ため.す""}","Test; Try; Attempt; Experiment; Ordeal"
"N1","弓","{""きゅう""}","{""ゆみ""}","Bow; Bow (archery, Violin)"
"N3","告","{""こく""}","{""つ.げる""}","Revelation; Tell; Inform; Announce"
"N3","種","{""しゅ""}","{""たね"",""-ぐさ""}","Species; Kind; Class; Variety; Seed"
"N3","達","{""たつ"",""だ""}","{""-たち""}","Accomplished; Reach; Arrive; Attain"
"N3","類","{""るい""}","{""たぐ.い""}","Sort; Kind; Variety; Class; Genus"
"N3","報","{""ほう""}","{""むく.いる""}","Report; News; Reward; Retribution"
"N2","祈","{""き""}","{""いの.る""}","Pray; Wish"
"N3","等","{""とう""}","{""ひと.しい"",""など"",""-ら""}","Etc.; And So Forth; Class (first); Quality; Equal; Similar"
"N1","汽","{""き""}","{}","Vapor; Steam"
"N4","借","{""しゃく""}","{""か.りる""}","Borrow; Rent"
"N2","焼","{""しょう""}","{""や.く"",""や.き"",""や.き-"",""-や.き"",""や.ける""}","Bake; Burning"
"N3","座","{""ざ""}","{""すわ.る""}","Squat; Seat; Cushion; Gathering; Sit"
"N3","忘","{""ぼう""}","{""わす.れる""}","Forget"
"N3","洗","{""せん""}","{""あら.う""}","Wash; Inquire Into; Probe"
"N2","胸","{""きょう""}","{""むね"",""むな-""}","Bosom; Breast; Chest; Heart; Feelings"
"N2","脳","{""のう"",""どう""}","{""のうずる""}","Brain; Memory"
"N1","僧","{""そう""}","{}","Buddhist Priest; Monk"
"N1","禅","{""ぜん"",""せん""}","{""しずか"",""ゆず.る""}","Zen; Silent Meditation"
"N4","験","{""けん"",""げん""}","{""あかし"",""しるし"",""ため.す"",""ためし""}","Verification; Effect; Testing"
"N3","許","{""きょ""}","{""ゆる.す"",""もと""}","Permit; Approve"
"N2","枚","{""まい"",""ばい""}","{}","Sheet Of...; Counter For Flat Thin Objects Or Sheets"
"N3","静","{""せい"",""じょう""}","{""しず-"",""しず.か"",""しず.まる"",""しず.める""}","Quiet"
"N1","句","{""く""}","{}","Phrase; Clause; Sentence; Passage; Paragraph; Counter For Haiku"
"N2","禁","{""きん""}","{}","Prohibition; Ban; Forbid"
"N2","喫","{""きつ""}","{""の.む""}","Consume; Eat; Drink; Smoke; Receive (a Blow)"
"N3","煙","{""えん""}","{""けむ.る"",""けむり"",""けむ.い""}","Smoke"
"N3","加","{""か""}","{""くわ.える"",""くわ.わる""}","Add; Addition; Increase; Join; Include; Canada"
"N1","節","{""せつ"",""せち""}","{""ふし"",""-ぶし"",""のっと""}","Node; Season; Period; Occasion; Verse; Clause; Stanza; Honor; Joint; Knuckle; Knob; Knot; Tune; Melody"
"N2","減","{""げん""}","{""へ.る"",""へ.らす""}","Dwindle; Decrease; Reduce; Decline; Curtail; Get Hungry"
"N2","順","{""じゅん""}","{}","Obey; Order; Turn; Right; Docility; Occasion"
"N3","容","{""よう""}","{""い.れる""}","Contain; Form; Looks"
"N2","布","{""ふ""}","{""ぬの""}","Linen; Cloth; Spread; Distribute"
"N3","易","{""えき"",""い""}","{""やさ.しい"",""やす.い""}","Easy; Ready To; Simple; Fortune-telling; Divination"
"N3","財","{""ざい"",""さい"",""ぞく""}","{""たから""}","Property; Money; Wealth; Assets"
"N3","若","{""じゃく"",""にゃく"",""にゃ""}","{""わか.い"",""わか-"",""も.しくわ"",""も.し"",""も.しくは"",""ごと.し""}","Young; If; Perhaps; Possibly; Low Number; Immature"
"N2","詞","{""し""}","{""ことば""}","Part Of Speech; Words; Poetry"
"N1","昆","{""こん""}","{}","Descendants; Elder Brother; Insect"
"N1","閥","{""ばつ""}","{}","Clique; Lineage; Pedigree; Faction; Clan"
"N2","歴","{""れき"",""れっき""}","{}","Curriculum; Continuation; Passage Of Time"
"N1","舌","{""ぜつ""}","{""した""}","Tongue; Reed; Clapper"
"N2","冊","{""さつ"",""さく""}","{""ふみ""}","Tome; Counter For Books; Volume"
"N2","宇","{""う""}","{}","Eaves; Roof; House; Heaven"
"N1","宙","{""ちゅう""}","{}","Mid-air; Air; Space; Sky; Memorization; Interval Of Time"
"N3","忙","{""ぼう"",""もう""}","{""いそが.しい"",""せわ.しい"",""おそ.れる"",""うれえるさま""}","Busy; Occupied; Restless"
"N1","履","{""り""}","{""は.く""}","Perform; Complete; Footgear; Shoes; Boots; Put On (the Feet)"
"N2","団","{""だん"",""とん""}","{""かたまり"",""まる.い""}","Group; Association"
"N2","暴","{""ぼう"",""ばく""}","{""あば.く"",""あば.れる""}","Outburst; Rave; Fret; Force; Violence; Cruelty; Outrage"
"N2","混","{""こん""}","{""ま.じる"",""-ま.じり"",""ま.ざる"",""ま.ぜる"",""こ.む""}","Mix; Blend; Confuse"
"N2","乱","{""らん"",""ろん""}","{""みだ.れる"",""みだ.る"",""みだ.す"",""みだ"",""おさ.める"",""わた.る""}","Riot; War; Disorder; Disturb"
"N3","徒","{""と""}","{""いたずら"",""あだ""}","On Foot; Junior; Emptiness; Vanity; Futility; Uselessness; Ephemeral Thing; Gang; Set; Party; People"
"N3","得","{""とく""}","{""え.る"",""う.る""}","Gain; Get; Find; Earn; Acquire; Can; May; Able To; Profit; Advantage; Benefit"
"N2","改","{""かい""}","{""あらた.める"",""あらた.まる""}","Reformation; Change; Modify; Mend; Renew; Examine; Inspect; Search"
"N3","続","{""ぞく"",""しょく"",""こう"",""きょう""}","{""つづ.く"",""つづ.ける"",""つぐ.ない""}","Continue; Series; Sequel"
"N3","連","{""れん""}","{""つら.なる"",""つら.ねる"",""つ.れる"",""-づ.れ""}","Take Along; Lead; Join; Connect; Party; Gang; Clique"
"N1","善","{""ぜん""}","{""よ.い"",""い.い"",""よ.く"",""よし.とする""}","Virtuous; Good; Goodness"
"N3","困","{""こん""}","{""こま.る""}","Quandary; Become Distressed; Annoyed"
"N2","絡","{""らく""}","{""から.む"",""から.まる""}","Entwine; Coil Around; Get Caught In"
"N2","比","{""ひ""}","{""くら.べる""}","Compare; Race; Ratio; Philippines"
"N1","災","{""さい""}","{""わざわ.い""}","Disaster; Calamity; Woe; Curse; Evil"
"N3","機","{""き""}","{""はた""}","Loom; Mechanism; Machine; Airplane; Opportunity; Potency; Efficacy; Occasion"
"N1","率","{""そつ"",""りつ"",""しゅつ""}","{""ひき.いる""}","Ratio; Rate; Proportion; %; Factor; Lead; Spearhead; Command"
"N3","飛","{""ひ""}","{""と.ぶ"",""と.ばす"",""-と.ばす""}","Fly; Skip (pages); Scatter"
"N3","害","{""がい""}","{}","Harm; Injury"
"N3","余","{""よ""}","{""あま.る"",""あま.り"",""あま.す"",""あんま.り""}","Too Much; Myself; Surplus; Other; Remainder"
"N3","難","{""なん""}","{""かた.い"",""-がた.い"",""むずか.しい"",""むづか.しい"",""むつか.しい"",""-にく.い""}","Difficult; Impossible; Trouble; Accident; Defect"
"N1","妨","{""ぼう""}","{""さまた.げる""}","Disturb; Prevent; Hamper; Obstruct"
"N2","被","{""ひ""}","{""こうむ.る"",""おお.う"",""かぶ.る"",""かぶ.せる""}","Incur; Cover; Veil; Brood Over; Shelter; Wear; Put On; Be Exposed (film); Receiving"
"N1","裕","{""ゆう""}","{}","Abundant; Rich; Fertile"
"N2","震","{""しん""}","{""ふる.う"",""ふる.える""}","Quake; Shake; Tremble; Quiver; Shiver"
"N1","尾","{""び""}","{""お""}","Tail; End; Counter For Fish; Lower Slope Of Mountain"
"N2","械","{""かい""}","{""かせ""}","Contraption; Fetter; Machine; Instrument"
"N3","確","{""かく"",""こう""}","{""たし.か"",""たし.かめる""}","Assurance; Firm; Tight; Hard; Solid; Confirm; Clear; Evident"
"N1","嫌","{""けん"",""げん""}","{""きら.う"",""きら.い"",""いや""}","Dislike; Detest; Hate"
"N2","個","{""こ"",""か""}","{}","Individual; Counter For Articles"
"N2","圧","{""あつ"",""えん"",""おう""}","{""お.す"",""へ.す"",""おさ.える"",""お.さえる""}","Pressure; Push; Overwhelm; Oppress; Dominate"
"N3","在","{""ざい""}","{""あ.る""}","Exist; Outskirts; Suburbs; Located In"
"N3","夢","{""む"",""ぼう""}","{""ゆめ"",""ゆめ.みる"",""くら.い""}","Dream; Vision; Illusion"
"N3","産","{""さん""}","{""う.む"",""う.まれる"",""うぶ-"",""む.す""}","Products; Bear; Give Birth; Yield; Childbirth; Native; Property"
"N3","倒","{""とう""}","{""たお.れる"",""-だお.れ"",""たお.す"",""さかさま"",""さかさ"",""さかしま""}","Overthrow; Fall; Collapse; Drop; Break Down"
"N1","臭","{""しゅう""}","{""くさ.い"",""-くさ.い"",""にお.う"",""にお.い""}","Stinking; Ill-smelling; Suspicious Looking; Odor; Savor; Fragrance; Be Fragrant; Stink; Glow; Be Bright"
"N2","厚","{""こう""}","{""あつ.い"",""あか""}","Thick; Heavy; Rich; Kind; Cordial; Brazen; Shameless"
"N3","妻","{""さい""}","{""つま""}","Wife; Spouse"
"N3","議","{""ぎ""}","{}","Deliberation; Consultation; Debate; Consideration"
"N3","犯","{""はん"",""ぼん""}","{""おか.す""}","Crime; Sin; Offense"
"N3","罪","{""ざい""}","{""つみ""}","Guilt; Sin; Crime; Fault; Blame; Offense"
"N2","防","{""ぼう""}","{""ふせ.ぐ""}","Ward Off; Defend; Protect; Resist"
"N1","穴","{""けつ""}","{""あな""}","Hole; Aperture; Slit; Cave; Den"
"N3","論","{""ろん""}","{}","Argument; Discourse"
"N3","経","{""けい"",""きょう"",""きん""}","{""へ.る"",""た.つ"",""たていと"",""はか.る"",""のり""}","Sutra; Longitude; Pass Thru; Expire; Warp"
"N1","笛","{""てき""}","{""ふえ""}","Flute; Clarinet; Pipe; Whistle; Bagpipe; Piccolo"
"N2","史","{""し""}","{}","History; Chronicle"
"N1","敵","{""てき""}","{""かたき"",""あだ"",""かな.う""}","Enemy; Foe; Opponent"
"N3","済","{""さい"",""せい""}","{""す.む"",""-ず.み"",""-ずみ"",""す.まない"",""す.ます"",""-す.ます"",""すく.う"",""な.す"",""わたし"",""わた.る""}","Settle (debt, Etc.); Relieve (burden); Finish; Come To An End; Excusable; Need Not"
"N2","委","{""い""}","{""ゆだ.ねる""}","Committee; Entrust To; Leave To; Devote; Discard"
"N1","挙","{""きょ""}","{""あ.げる"",""あ.がる"",""こぞ.る""}","Raise; Plan; Project; Behavior; Actions"
"N3","判","{""はん"",""ばん""}","{""わか.る""}","Judgement; Signature; Stamp; Seal"
"N3","制","{""せい""}","{}","System; Law; Rule"
"N3","務","{""む""}","{""つと.める""}","Task; Duties"
"N2","査","{""さ""}","{}","Investigate"
"N2","総","{""そう""}","{""す.べて"",""すべ.て"",""ふさ""}","General; Whole; All; Full; Total"
"N2","設","{""せつ""}","{""もう.ける""}","Establishment; Provision; Prepare"
"N3","資","{""し""}","{}","Assets; Resources; Capital; Funds; Data; Be Conducive To; Contribute To"
"N3","権","{""けん"",""ごん""}","{""おもり"",""かり"",""はか.る""}","Authority; Power; Rights"
"N3","件","{""けん""}","{""くだん""}","Affair; Case; Matter; Item"
"N1","派","{""は""}","{}","Faction; Group; Party; Clique; Sect; School"
"N1","素","{""そ"",""す""}","{""もと""}","Elementary; Principle; Naked; Uncovered"
"N3","断","{""だん""}","{""た.つ"",""ことわ.る"",""さだ.める""}","Severance; Decline; Refuse; Apologize; Warn; Dismiss; Prohibit; Decision; Judgement; Cutting"
"N1","評","{""ひょう""}","{}","Evaluate; Criticism; Comment"
"N1","批","{""ひ""}","{}","Criticism; Strike"
"N3","任","{""にん""}","{""まか.せる"",""まか.す""}","Responsibility; Duty; Term; Entrust To; Appoint"
"N1","検","{""けん""}","{""しら.べる""}","Examination; Investigate"
"N1","審","{""しん""}","{""つまび.らか"",""つぶさ.に""}","Hearing; Judge; Trial"
"N1","条","{""じょう"",""ちょう"",""でき""}","{""えだ"",""すじ""}","Article; Clause; Item; Stripe; Streak"
"N3","責","{""せき""}","{""せ.める""}","Blame; Condemn; Censure"
"N2","省","{""せい"",""しょう""}","{""かえり.みる"",""はぶ.く""}","Focus; Government Ministry; Conserve"
"N3","増","{""ぞう""}","{""ま.す"",""ま.し"",""ふ.える"",""ふ.やす""}","Increase; Add; Augment; Gain; Promote"
"N2","税","{""ぜい""}","{}","Tax; Duty"
"N3","解","{""かい"",""げ""}","{""と.く"",""と.かす"",""と.ける"",""ほど.く"",""ほど.ける"",""わか.る"",""さと.る""}","Unravel; Notes; Key; Explanation; Understanding; Untie; Undo; Solve; Answer; Cancel; Absolve; Explain; Minute"
"N3","際","{""さい""}","{""きわ"",""-ぎわ""}","Occasion; Side; Edge; Verge; Dangerous; Adventurous; Indecent; Time; When"
"N3","認","{""にん""}","{""みと.める"",""したた.める""}","Acknowledge; Witness; Discern; Recognize; Appreciate; Believe"
"N1","企","{""き""}","{""くわだ.てる"",""たくら.む""}","Undertake; Scheme; Design; Attempt; Plan"
"N1","義","{""ぎ""}","{}","Righteousness; Justice; Morality; Honor; Loyalty; Meaning"
"N1","罰","{""ばつ"",""ばち"",""はつ""}","{""ばっ.する""}","Penalty; Punishment"
"N1","誕","{""たん""}","{}","Nativity; Be Born; Declension; Lie; Be Arbitrary"
"N1","脱","{""だつ""}","{""ぬ.ぐ"",""ぬ.げる""}","Undress; Removing; Escape From; Get Rid Of; Be Left Out; Take Off"
"N3","過","{""か""}","{""す.ぎる"",""-す.ぎる"",""-す.ぎ"",""す.ごす"",""あやま.つ"",""あやま.ち"",""よ.ぎる""}","Overdo; Exceed; Go Beyond; Error"
"N3","寝","{""しん""}","{""ね.る"",""ね.かす"",""い.ぬ"",""みたまや"",""や.める""}","Lie Down; Sleep; Rest; Bed; Remain Unsold"
"N1","宮","{""きゅう"",""ぐう"",""く"",""くう""}","{""みや""}","Shinto Shrine; Constellations; Palace; Princess"
"N2","各","{""かく""}","{""おのおの""}","Each; Every; Either"
"N1","案","{""あん""}","{""つくえ""}","Plan; Suggestion; Draft; Ponder; Fear; Proposition; Idea; Expectation; Worry; Table; Bench"
"N3","置","{""ち""}","{""お.く"",""-お.き""}","Placement; Put; Set; Deposit; Leave Behind; Keep; Employ; Pawn"
"N3","費","{""ひ""}","{""つい.やす"",""つい.える""}","Expense; Cost; Spend; Consume; Waste"
"N1","価","{""か"",""け""}","{""あたい""}","Value; Price"
"N2","勢","{""せい"",""ぜい""}","{""いきお.い"",""はずみ""}","Forces; Energy; Military Strength"
"N2","営","{""えい""}","{""いとな.む"",""いとな.み""}","Occupation; Camp; Perform; Build; Conduct (business)"
"N3","示","{""じ"",""し""}","{""しめ.す""}","Show; Indicate; Point Out; Express; Display"
"N1","統","{""とう""}","{""す.べる"",""ほび.る""}","Overall; Relationship; Ruling; Governing"
"N2","領","{""りょう""}","{""えり""}","Jurisdiction; Dominion; Territory; Fief; Reign"
"N1","策","{""さく""}","{}","Scheme; Plan; Policy; Step; Means"
"N1","藤","{""とう"",""どう""}","{""ふじ""}","Wisteria"
"N2","副","{""ふく""}","{}","Vice-; Assistant; Aide; Duplicate; Copy"
"N3","観","{""かん""}","{""み.る"",""しめ.す""}","Outlook; Look; Appearance; Condition; View"
"N3","値","{""ち""}","{""ね"",""あたい""}","Price; Cost; Value"
"N3","吸","{""きゅう""}","{""す.う""}","Suck; Imbibe; Inhale; Sip"
"N2","域","{""いき""}","{}","Range; Region; Limits; Stage; Level"
"N1","姿","{""し""}","{""すがた""}","Figure; Form; Shape"
"N1","応","{""おう"",""よう"",""-のう""}","{""あた.る"",""まさに"",""こた.える""}","Apply; Answer; Yes; Ok; Reply; Accept"
"N1","提","{""てい"",""ちょう"",""だい""}","{""さ.げる""}","Propose; Take Along; Carry In Hand"
"N1","援","{""えん""}","{}","Abet; Help; Save"
"N3","状","{""じょう""}","{}","Status Quo; Conditions; Circumstances; Form; Appearance"
"N1","態","{""たい""}","{""わざ.と""}","Attitude; Condition; Figure; Appearance; Voice (of Verbs)"
"N1","賀","{""が""}","{}","Congratulations; Joy"
"N3","収","{""しゅう""}","{""おさ.める"",""おさ.まる""}","Income; Obtain; Reap; Pay; Supply; Store"
"N2","停","{""てい""}","{""と.める"",""と.まる""}","Halt; Stopping"
"N2","革","{""かく""}","{""かわ""}","Leather; Skin; Reform; Become Serious"
"N3","職","{""しょく"",""そく""}","{}","Post; Employment; Work"
"N1","鬼","{""き""}","{""おに"",""おに-""}","Ghost; Devil"
"N3","規","{""き""}","{}","Standard; Measure"
"N1","護","{""ご""}","{""まも.る""}","Safeguard; Protect"
"N3","割","{""かつ""}","{""わ.る"",""わり"",""わ.り"",""わ.れる"",""さ.く""}","Proportion; Comparatively; Divide; Cut; Separate; Split"
"N1","裁","{""さい""}","{""た.つ"",""さば.く""}","Tailor; Judge; Decision; Cut Out (pattern)"
"N1","崎","{""き""}","{""さき"",""さい"",""みさき""}","Promontory; Cape; Spit"
"N3","演","{""えん""}","{}","Performance; Act; Play; Render; Stage"
"N2","律","{""りつ"",""りち"",""れつ""}","{}","Rhythm; Law; Regulation; Gauge; Control"
"N3","師","{""し""}","{""いくさ""}","Expert; Teacher; Master; Model; Exemplar; Army (incl. Counter); War"
"N1","看","{""かん""}","{""み.る""}","Watch Over; See"
"N2","準","{""じゅん""}","{""じゅん.じる"",""じゅん.ずる"",""なぞら.える"",""のり"",""ひと.しい"",""みずもり""}","Semi-; Correspond To; Proportionate To; Conform; Imitate"
